BROKERTITLE,TYPE,PRICE,BEDS,BATH,PROPERTYSQFT,STATE,MAIN_ADDRESS,ADMINISTRATIVE_AREA_LEVEL_2,LOCALITY,SUBLOCALITY
"Brokered by BEN BAY REALTY, CO.",Condo for sale,995000,4,2.0,1782.0,"Brooklyn, NY 11228","956 79th St Unit 3BBrooklyn, NY 11228",,Kings County,Brooklyn
Brokered by EXP Realty,House for sale,1030000,4,2.0,1624.0,"Fresh Meadows, NY 11365","69-33 165th StFresh Meadows, NY 11365",United States,New York,Queens County
,Condo for sale,875000,3,1.0,294.0,"New York, NY 10065","11 E 68th St Unit 7JNew York, NY 10065",,New York County,New York
,Townhouse for sale,598500,3,2.3738608579684373,1500.0,"Staten Island, NY 10314","44 Venus LnStaten Island, NY 10314",,New York,Richmond County
,Co-op for sale,265000,1,1.0,2184.207862,"Bayside, NY 11360","18-55 Corporal Kennedy St Unit 6JBayside, NY 11360",,Queens County,Queens
,Multi-family home for sale,1698000,12,4.0,2184.207862,"Ridgewood, NY 11385","488 Onderdonk AveRidgewood, NY 11385",United States,New York,Queens County
,Condo for sale,1995000,1,1.0,826.0,"New York, NY 10003","28 E 10th St Apt 1KNew York, NY 10003",New York County,New York,Manhattan
,Condo for sale,820000,1,2.0,788.0,"Brooklyn, NY 11218","35 McDonald Ave Apt 3FBrooklyn, NY 11218",,Kings County,Brooklyn
,Multi-family home for sale,1995000,3,4.0,2184.207862,"Brooklyn, NY 11224","5100 Surf AveBrooklyn, NY 11224",United States,New York,Kings County
,Co-op for sale,210000,1,1.0,2184.207862,"Forest Hills, NY 11375","66-04 Grand Central Pkwy Unit 1CForest Hills, NY 11375",,Queens County,Queens
Brokered by COMPASS,Co-op for sale,2350000,2,2.0,2184.207862,"Manhattan, NY 10011","2 5th Ave Apt 4CManhattan, NY 10011",,New York County,New York
,Co-op for sale,6995000,4,4.0,2184.207862,"New York, NY 10028","1010 Fifth Ave Unit 11BWNew York, NY 10028",New York,New York County,New York
,Co-op for sale,388000,2,2.0,2184.207862,"Jackson Heights, NY 11372","33-26 92 St Unit 3LJackson Heights, NY 11372",New York,Queens County,Queens
,Condo for sale,1475000,2,3.0,1397.0,"New York, NY 10019","347 W 57th St Apt 29CNew York, NY 10019",New York,New York County,New York
Brokered by COMPASS,Condo for sale,1225000,2,2.0,1050.0,"Manhattan, NY 10019","159 W 53rd St Apt 36BManhattan, NY 10019",,New York County,New York
,Co-op for sale,1995000,5,3.0,2400.0,"New York, NY 10128","520 E 90th St # 2GLMNew York, NY 10128",,New York,New York County
"Brokered by CORE Group Marketing, LLC",Condo for sale,2999999,2,2.0,1770.0,"New York, NY 10075","45 E 80th St Apt 11BNew York, NY 10075",,New York County,New York
Brokered by RE/MAX Team,Co-op for sale,292950,1,1.0,675.0,"Jackson Heights, NY 11372","35-11 85th St Unit 6BJackson Heights, NY 11372",,Queens County,Queens
,Contingent,990000,11,9.0,6240.0,"Brooklyn, NY 11212","269 Grafton StBrooklyn, NY 11212",United States,New York,Kings County
,Condo for sale,1540000,3,3.0,1357.0,"Brooklyn, NY 11215","575 4th Ave Apt 4CBrooklyn, NY 11215",New York,Kings County,Brooklyn
,Co-op for sale,679000,1,1.0,700.0,"New York, NY 10024","250-254 W 82nd St Unit 2CNew York, NY 10024",New York,New York County,New York
,Condo for sale,1475000,2,3.0,1397.0,"New York, NY 10019","347 W 57th St Apt 29CNew York, NY 10019",,New York County,New York
,Condo for sale,1225000,2,2.0,1050.0,"Manhattan, NY 10019","159 W 53rd St Apt 36BManhattan, NY 10019",,New York County,New York
,Co-op for sale,1995000,5,3.0,2400.0,"New York, NY 10128","520 E 90th St # 2GLMNew York, NY 10128",United States,New York,New York County
,Condo for sale,2999999,2,2.0,1770.0,"New York, NY 10075","45 E 80th St Apt 11BNew York, NY 10075",,New York County,New York
,Co-op for sale,800000,1,1.0,2184.207862,"Manhattan, NY 10014","9 Barrow St Apt 6GManhattan, NY 10014",New York,-,New York
Brokered by BOTTON REALTY GROUP,House for sale,998000,3,2.0,1232.0,"Brooklyn, NY 11223","2247 Coney Island AveBrooklyn, NY 11223",,New York,Kings County
Brokered by RE MAX Boutique Realty,Multi-family home for sale,920000,5,3.0,2640.0,"Bronx, NY 10461","1859 Mulford AveBronx, NY 10461",United States,New York,Bronx County
,Multi-family home for sale,1098000,3,3.0,2184.207862,"East Elmhurst, NY 11370","32-58 77th StEast Elmhurst, NY 11370",,New York,Queens County
,House for sale,798000,4,4.0,1410.0,"Staten Island, NY 10314","11 Goller PlStaten Island, NY 10314",United States,New York,Richmond County
Brokered by COMPASS,Co-op for sale,525000,1,1.0,715.0,"Manhattan, NY 10016","67 Park Ave Unit 8EManhattan, NY 10016",,New York County,New York
,Multi-family home for sale,3900000,5,3.0,2184.207862,"Springfield Gardens, NY 11413","183-05 145th DrSpringfield Gardens, NY 11413",United States,New York,Queens County
,Co-op for sale,479500,2,2.0,2184.207862,"Bayside, NY 11360","23-55 Bell Blvd Unit 4HBayside, NY 11360",,Queens County,Queens
Brokered by E Realty International Corp,Co-op for sale,599000,1,1.0,600.0,"New York, NY 10019","314 W 56th St Apt 3CNew York, NY 10019",New York,New York County,New York
,Townhouse for sale,0,4,4.0,4000.0,"Manhattan, NY 10003","335 E 18th StManhattan, NY 10003",,New York,New York County
,Co-op for sale,629000,1,1.0,2184.207862,"Manhattan, NY 10025","504 W 111th St Apt 34Manhattan, NY 10025",New York,New York County,New York
Brokered by EXIT REALTY TOP PROPERTIES,Multi-family home for sale,1650000,3,3.0,1472.0,"Brooklyn, NY 11204","1876 60th StBrooklyn, NY 11204",United States,New York,Kings County
,Co-op for sale,1100000,2,1.0,980.0,"New York, NY 10024","545 W End Ave Apt 8DNew York, NY 10024",,New York County,New York
,Townhouse for sale,1450000,4,3.0,2128.0,"Brooklyn, NY 11233","323 Bainbridge StBrooklyn, NY 11233",United States,New York,Kings County
,House for sale,1049000,4,3.0,2184.207862,"Fresh Meadows, NY 11365","180-14 69 AveFresh Meadows, NY 11365",United States,New York,Queens County
,Townhouse for sale,22500000,4,2.3738608579684373,9132.0,"New York, NY 10011","217 W 20th StNew York, NY 10011",United States,New York,New York County
,Multi-family home for sale,2925000,3,4.0,5170.0,"Brooklyn, NY 11209","7302 6th AveBrooklyn, NY 11209",United States,New York,Kings County
Brokered by Keller Williams NYC,Condo for sale,695000,2,2.0,889.0,"New York, NY 10027","42 W 120th St Apt 2DNew York, NY 10027",New York,New York County,New York
,Condo for sale,650000,1,1.0,776.0,"New York, NY 10280","300 Albany St Apt 3DNew York, NY 10280",New York,New York County,New York
,Co-op for sale,1695000,3,3.0,1818.0,"Manhattan, NY 10128","333 E 91st St Apt 24AManhattan, NY 10128",,New York County,New York
,Co-op for sale,1200000,2,2.0,2184.207862,"New York, NY 10128","1150 Park Ave Unit 6DNew York, NY 10128",,New York County,New York
,Co-op for sale,4675000,4,2.0,2184.207862,"New York, NY 10024","180 Riverside Dr Apt 8ANew York, NY 10024",New York,New York County,New York
,Multi-family home for sale,1200000,7,4.0,3240.0,"Bronx, NY 10461","2885 E 195th StBronx, NY 10461",United States,New York,Bronx County
Brokered by Corcoran Chelsea/Flatiron,Condo for sale,4495000,3,3.0,2012.0,"New York, NY 10022","252 E 57th St Apt 39CNew York, NY 10022",,New York County,New York
,Co-op for sale,462900,3,1.0,2184.207862,"New York, NY 10016","159 Madison Ave Apt 7INew York, NY 10016",,New York County,New York
,Co-op for sale,635000,1,1.0,2184.207862,"Brooklyn, NY 11238","673 Vanderbilt Ave Apt 1CBrooklyn, NY 11238",New York,Kings County,Brooklyn
,Co-op for sale,368000,2,1.0,950.0,"Flushing, NY 11354","29-08 139th St Unit 2GFlushing, NY 11354",,Queens,Flushing
,Contingent,12850000,5,5.0,5139.0,"New York, NY 10023","53 W 71st StNew York, NY 10023",,New York,New York County
,Co-op for sale,350777,1,1.0,2184.207862,"New York, NY 10026","50 W 112th St Apt 6DNew York, NY 10026",,New York County,New York
,Co-op for sale,700000,4,1.0,1500.0,"New York, NY 10027","371 W 120th St Apt 2SNew York, NY 10027",,New York County,New York
,Contingent,335900,1,1.0,670.0,"Staten Island, NY 10314","15 Kathy PlStaten Island, NY 10314",,New York,Richmond County
Brokered by EXIT REALTY PRIME,Multi-family home for sale,1149000,11,6.0,4350.0,"Corona, NY 11368","40-11 102nd StCorona, NY 11368",,New York,Queens County
,House for sale,1888000,3,3.0,4100.0,"Brooklyn, NY 11234","2307 E 66th StBrooklyn, NY 11234",United States,New York,Kings County
Brokered by INSPIROU GROUP,Multi-family home for sale,1288000,4,3.0,2240.0,"Astoria, NY 11105","4317 20th RdAstoria, NY 11105",United States,New York,Queens County
Brokered by Re/Max Edge,House for sale,750000,3,2.3738608579684373,1922.0,"Staten Island, NY 10314","15 Denker PlStaten Island, NY 10314",,Na,Richmond County
Brokered by EXP Realty,Co-op for sale,324888,1,1.0,713.0,"Rego Park, NY 11374","61-15 97th St Unit 6DRego Park, NY 11374",,Queens County,Queens
,Co-op for sale,550000,2,1.0,2184.207862,"New York, NY 10033","804 W 180th St Apt 52New York, NY 10033",New York,New York County,New York
,Co-op for sale,165000,3,1.0,400.0,"Kew Gardens, NY 11415","84-25 118 St Unit 3AKew Gardens, NY 11415",,Queens County,Queens
,Co-op for sale,2950000,4,2.0,2184.207862,"New York, NY 10128","1133 Park Ave Unit 12WNew York, NY 10128",,New York County,New York
,Co-op for sale,130000,3,1.0,422.0,"Jamaica, NY 11432","164-20 Highland Ave Unit 8WJamaica, NY 11432",,Queens County,Queens
Brokered by Brown Harris Stevens,Townhouse for sale,2560000,13,4.0,2184.207862,"Brooklyn, NY 11216","413 Greene Ave Unit TownhouseBrooklyn, NY 11216",,New York,Kings County
,Townhouse for sale,3500000,7,4.0,2184.207862,"Manhattan, NY 10035","2115 Fifth Ave Unit TownhouseManhattan, NY 10035",,New York,New York County
Brokered by Corcoran Brooklyn Heights,Condo for sale,1049000,3,1.0,897.0,"Brooklyn, NY 11249","85 N 3rd St Apt 504Brooklyn, NY 11249",,Kings County,Brooklyn
,Condo for sale,9995000,3,4.0,2950.0,"New York, NY 10012","10 Sullivan St Unit 10ANew York, NY 10012",,New York County,New York
,House for sale,750000,4,3.0,1806.0,"Brooklyn, NY 11210","762 E 37th StBrooklyn, NY 11210",,New York,Kings County
,Co-op for sale,219000,1,1.0,2184.207862,"Flushing, NY 11358","190-05 39 Ave Unit 142Flushing, NY 11358",New York,Queens County,Queens
Brokered by Brown Harris Stevens - 445 Park Avenue,Co-op for sale,935000,1,1.0,2184.207862,"Manhattan, NY 10022","781 Fifth Ave Unit 407Manhattan, NY 10022",New York,New York County,New York
,Contingent,750000,6,2.0,1476.0,"Brooklyn, NY 11208","1363 Sutter AveBrooklyn, NY 11208",,New York,Kings County
,Co-op for sale,935000,1,1.0,2184.207862,"Manhattan, NY 10022","781 Fifth Ave Unit 407Manhattan, NY 10022",New York,New York County,New York
,House for sale,1080000,4,3.0,1824.0,"Staten Island, NY 10304","115 Rome AveStaten Island, NY 10304",,New York,Richmond County
,House for sale,2888888,5,4.0,5000.0,"Brooklyn, NY 11235","1217 Doone CtBrooklyn, NY 11235",United States,New York,Kings County
Brokered by Bond New York- Columbus Circle,Co-op for sale,860000,3,2.0,1118.0,"New York, NY 10039","300 W 145th St Apt 2PNew York, NY 10039",New York,New York County,New York
,Multi-family home for sale,1180000,4,5.0,3100.0,"Corona, NY 11368","47-19 99th StCorona, NY 11368",United States,New York,Queens County
,Co-op for sale,235000,1,1.0,675.0,"Old Mill Basin, NY 11234","2011 E 56th St Unit 57BOld Mill Basin, NY 11234",New York,Kings County,Brooklyn
Brokered by Sotheby's International Realty - East Side Manhattan Brokerage,Co-op for sale,4650000,4,4.0,2184.207862,"New York, NY 10075","980 Fifth Ave Apt 8BNew York, NY 10075",,New York County,New York
Brokered by RITZ REALTY NY CORP.,Condo for sale,680000,2,1.0,640.0,"Brooklyn, NY 11232","4016 7th Ave Unit 2RBrooklyn, NY 11232",New York,Kings County,Brooklyn
,Townhouse for sale,14995000,3,0.0,2184.207862,"Manhattan, NY 10024","50 W 86th St Unit TownhouseManhattan, NY 10024",,New York,New York County
,Co-op for sale,595000,1,1.0,2184.207862,"New York, NY 10128","1199 Park Ave Apt 6JNew York, NY 10128",,New York,Manhattan
,Co-op for sale,1200000,1,1.0,2184.207862,"New York, NY 10075","3 E 77th St Apt 14DNew York, NY 10075",New York,New York County,New York
,House for sale,0,4,2.0,1842.0,"Brooklyn, NY 11230","906 E 16th StBrooklyn, NY 11230",,New York,Kings County
,House for sale,1300000,5,3.0,1750.0,"Flushing, NY 11358","173-22 Effington AveFlushing, NY 11358",,New York,Queens County
,Condo for sale,2175000,2,2.0,1666.0,"New York, NY 10023","243 W 60th St Apt 4ANew York, NY 10023",New York,New York County,New York
NoBroker,Condo for sale,2795000,3,3.0,1689.0,"Manhattan, NY 10019","555 W 59th St Apt 20BManhattan, NY 10019",,New York County,New York
,Townhouse for sale,979000,3,2.0,2184.207862,"Maspeth, NY 11378","53-70 64th StMaspeth, NY 11378",United States,New York,Queens County
,Pending,589000,4,2.0,2235.0,"Far Rockaway, NY 11691","1118 Bay 24th StFar Rockaway, NY 11691",United States,New York,Queens County
,Co-op for sale,45000000,5,2.3738608579684373,2184.207862,"New York, NY 10065","4 E 66th St Fl 7New York, NY 10065",,New York County,New York
,Co-op for sale,1995000,3,2.0,2184.207862,"Manhattan, NY 10023","11 Riverside Dr Apt 10MWManhattan, NY 10023",,New York County,New York
Brokered by Homemax Realty Inc,Condo for sale,679000,2,2.0,879.0,"Brooklyn, NY 11220","511 68th St Apt 1ABrooklyn, NY 11220",New York,Na,Brooklyn
,Co-op for sale,263000,2,1.0,2184.207862,"Queens Village, NY 11427","221-24 Manor Rd Unit UpperQueens Village, NY 11427",United States,New York,Queens County
,Co-op for sale,7250000,4,4.0,2184.207862,"New York, NY 10023","101 Central Park W Units 11 & 12GNew York, NY 10023",,New York County,New York
,Co-op for sale,169999,1,1.0,750.0,"Jamaica, NY 11432","87-46 Chelsea St Unit 6EJamaica, NY 11432",New York,Queens County,Queens
,Co-op for sale,304900,1,1.0,850.0,"Forest Hills, NY 11375","68-63 108th St Unit 3DForest Hills, NY 11375",New York,Queens County,Queens
,Condo for sale,600000,1,1.0,600.0,"Manhattan, NY 10029","1810 Third Ave Unit A9Manhattan, NY 10029",New York,New York County,New York
Brokered by RE MAX Edge,House for sale,999000,7,4.0,2000.0,"Brooklyn, NY 11223","33 Avenue XBrooklyn, NY 11223",,New York,Kings County
,Co-op for sale,279000,2,1.0,1000.0,"Brooklyn, NY 11235","2719 E 28th St Apt 2BBrooklyn, NY 11235",New York,Kings County,Brooklyn
,Co-op for sale,1250000,1,1.0,1300.0,"New York, NY 10022","470 Park Ave Apt 6ANew York, NY 10022",New York,New York County,New York
,Co-op for sale,179000,1,1.0,2184.207862,"Brooklyn, NY 11234","2239 Troy Ave Unit C6Brooklyn, NY 11234",New York,Kings County,Brooklyn
Brokered by Master Associates Inc.,House for sale,1299800,4,4.0,2600.0,"Staten Island, NY 10306","41 Milburn StStaten Island, NY 10306",,United States,New York
,Co-op for sale,268000,2,1.0,950.0,"Flushing, NY 11354","141-16 25 Rd Unit 1DFlushing, NY 11354",,Queens County,Queens
Brokered by Re/Max In The City,Co-op for sale,140000,3,1.0,507.0,"Bronx, NY 10470","4295 Webster Ave Apt 1KBronx, NY 10470",,Bronx County,The Bronx
,Multi-family home for sale,2100000,3,1.0,6862.0,"Staten Island, NY 10301","32-34 36 Monroe AveStaten Island, NY 10301",,New York,Richmond County
Brokered by Keller Williams Rlty Landmark,Co-op for sale,293000,1,1.0,649.0,"Jackson Heights, NY 11372","35-11 85th St Unit 2CJackson Heights, NY 11372",,Queens County,Queens
,Condo for sale,649000,1,1.0,665.0,"Manhattan, NY 10027","145 W 129th St Apt 2Manhattan, NY 10027",New York,New York County,New York
,Co-op for sale,298888,1,1.0,700.0,"Beechhurst, NY 11357","160-15 Powells Cove Blvd Unit B104Beechhurst, NY 11357",New York,Queens County,Queens
,Co-op for sale,1650000,3,3.0,1800.0,"New York, NY 10024","123 W 86th St # GNew York, NY 10024",,New York,New York County
Brokered by RE MAX Edge,Condo for sale,538000,2,1.0,1105.0,"Brooklyn, NY 11223","2546 Stillwell Ave Apt 3BBrooklyn, NY 11223",United States,New York,Kings County
,Co-op for sale,990000,1,1.0,850.0,"New York, NY 10019","24 W 55th St Ph DNew York, NY 10019",,New York,New York County
,Condo for sale,4145000,2,2.0,1593.0,"New York, NY 10007","111 Murray St Apt 17ANew York, NY 10007",New York,New York County,New York
,Townhouse for sale,2545000,6,2.0,3277.0,"Brooklyn, NY 11234","303 Whitman DrBrooklyn, NY 11234",,New York,Kings County
Brokered by BESMATCH REAL ESTATE,Co-op for sale,99000,1,1.0,850.0,"Bronx, NY 10452","1185 Anderson Ave Apt 2CBronx, NY 10452",New York,Bronx County,The Bronx
,Co-op for sale,1650000,3,3.0,1800.0,"New York, NY 10024","123 W 86th St # GNew York, NY 10024",United States,New York,New York County
,Multi-family home for sale,999888,3,4.0,2016.0,"Staten Island, NY 10301","38 Edgar TerStaten Island, NY 10301",United States,New York,Richmond County
,Co-op for sale,99000,1,1.0,850.0,"Bronx, NY 10452","1185 Anderson Ave Apt 2CBronx, NY 10452",New York,Bronx County,The Bronx
,Townhouse for sale,2545000,6,2.0,3277.0,"Brooklyn, NY 11234","303 Whitman DrBrooklyn, NY 11234",United States,New York,Kings County
,Condo for sale,15500000,4,4.0,4064.0,"Manhattan, NY 10019","1 Central Park S Unit 1801Manhattan, NY 10019",New York,New York County,New York
,Co-op for sale,395000,3,1.0,2184.207862,"Manhattan, NY 10128","200 E End Ave Apt 3KManhattan, NY 10128",New York,New York County,New York
,House for sale,999000,4,1.0,2184.207862,"Brooklyn, NY 11207","18 Vermont CtBrooklyn, NY 11207",,New York,Kings County
Brokered by Douglas Elliman - 936 Broadway,Co-op for sale,3125000,2,2.0,1804.0,"New York, NY 10012","121 Mercer St Fl 4New York, NY 10012",,New York County,New York
,Co-op for sale,2995000,3,2.0,2184.207862,"Brooklyn, NY 11215","35 Prospect Park W Apt 10BBrooklyn, NY 11215",New York,Kings County,Brooklyn
Brokered by Corcoran Park Avenue South,Condo for sale,570000,3,1.0,515.0,"New York, NY 10280","250 S End Ave Apt 12FNew York, NY 10280",New York,New York County,New York
,Co-op for sale,599000,3,1.0,868.0,"New York, NY 10024","400 W End Ave Apt 2ANew York, NY 10024",,New York County,New York
,Co-op for sale,239000,2,1.0,950.0,"Brooklyn, NY 11223","2547 W 2nd St Apt 1HBrooklyn, NY 11223",,Kings County,Brooklyn
Brokered by COMPASS,Townhouse for sale,5000000,3,2.0,2569.0,"Manhattan, NY 10002","165 Chrystie St Unit ThManhattan, NY 10002",,New York,New York County
Brokered by Yoreevo Llc,Co-op for sale,950000,2,2.0,2184.207862,"New York, NY 10128","168 E 90th St Apt 3WNew York, NY 10128",,New York County,New York
,Pending,1099000,3,2.0,1472.0,"Brooklyn, NY 11209","32 Oliver StBrooklyn, NY 11209",,New York,Kings County
Brokered by Serhant,Condo for sale,1950000,1,2.0,1117.0,"New York, NY 10014","345 W 14th St Apt 3ENew York, NY 10014",,New York County,New York
"Brokered by Dom Realty, Inc",Multi-family home for sale,1085000,3,8.0,3480.0,"Brooklyn, NY 11224","2764 W 15th StBrooklyn, NY 11224",,New York,Kings County
Brokered by Serhant,Condo for sale,1950000,1,2.0,1117.0,"New York, NY 10014","345 W 14th St Apt 3ENew York, NY 10014",,New York County,New York
Brokered by SOUTHSIDE REALTY GROUP LLC,House for sale,999900,8,3.0,2184.207862,"Bronx, NY 10457","2066 Ryer AveBronx, NY 10457",,New York,Bronx County
Brokered by Corcoran West Side,Co-op for sale,759000,2,2.0,2184.207862,"Bronx, NY 10463","3777 Independence Ave Apt 16MBronx, NY 10463",New York,Bronx County,The Bronx
,Pending,799000,2,2.0,850.0,"Brooklyn, NY 11221","622 Madison St Unit TownhouseBrooklyn, NY 11221",,New York,Kings County
,Multi-family home for sale,928500,5,4.0,2184.207862,"College Point, NY 11356","121-16 Keel CtCollege Point, NY 11356",,New York,Queens County
,House for sale,6995000,9,6.0,9550.0,"New York, NY 10002","159 Rivington StNew York, NY 10002",,New York,New York County
,Contingent,1150000,2,1.0,1100.0,"Brooklyn, NY 11201","2 Grace Ct Apt 3NBrooklyn, NY 11201",,Kings County,Brooklyn
Brokered by BERGEN BASIN REALTY,Co-op for sale,349000,2,1.0,900.0,"Brooklyn, NY 11224","2928 W 5th St Apt 4GBrooklyn, NY 11224",New York,Kings County,Brooklyn
,Multi-family home for sale,1400000,6,2.3738608579684373,2184.207862,"Whitestone, NY 11357","143-35 22nd RdWhitestone, NY 11357",United States,New York,Queens County
,Townhouse for sale,6495000,6,6.0,5232.0,"New York, NY 10024","117 W 85th StNew York, NY 10024",,New York,New York County
Brokered by Coldwell Banker American Homes,Multi-family home for sale,1800000,11,6.0,5000.0,"Elmhurst, NY 11373","42-22 82nd St Unit 6Elmhurst, NY 11373",New York,Na,Queens
,Condo for sale,1450000,3,2.0,1117.0,"New York, NY 10016","333 E 30th St Apt 8LNew York, NY 10016",New York,New York County,New York
Brokered by COMPASS,Co-op for sale,599000,3,1.0,2184.207862,"Manhattan, NY 10017","320 E 42nd St Apt 1901Manhattan, NY 10017",,New York County,New York
,Contingent,898888,3,3.0,2080.0,"Staten Island, NY 10308","72 Middle Loop RdStaten Island, NY 10308",United States,New York,Richmond County
,Condo for sale,2980000,3,3.0,1756.0,"New York, NY 10029","1280 Fifth Ave Ph BNew York, NY 10029",United States,New York,New York County
,Multi-family home for sale,829000,9,3.0,2276.0,"Bronx, NY 10459","1378 Bristow StBronx, NY 10459",United States,New York,Bronx County
"Brokered by Garfield, Leslie J. & Co., Inc.",Townhouse for sale,15850000,5,6.0,2184.207862,"New York, NY 10128","15 E 93rd StNew York, NY 10128",,New York,New York County
,Co-op for sale,945000,2,1.0,2184.207862,"Manhattan, NY 10022","455 E 51st St Unit 2DManhattan, NY 10022",,New York County,New York
,Co-op for sale,389000,1,1.0,2184.207862,"New York, NY 10034","60 Cooper St Apt 5BNew York, NY 10034",New York,New York County,New York
Brokered by EXP Realty,Co-op for sale,185000,3,1.0,400.0,"Forest Hills, NY 11375","67-25 Clyde St Unit 5JForest Hills, NY 11375",,Queens County,Queens
Brokered by Rk Capital Group Llc,Condo for sale,568000,1,1.0,2184.207862,"Forest Hills, NY 11375","69-45 108th St Unit 2AForest Hills, NY 11375",New York,Queens County,Queens
,Condo for sale,950000,1,1.0,2184.207862,"New York, NY 10023","29 W 65th St Apt 2FNew York, NY 10023",,New York,Manhattan
,Condo for sale,2000000,2,2.0,1441.0,"Brooklyn, NY 11201","50 Bridge Park Dr Apt 3DBrooklyn, NY 11201",,Kings County,Brooklyn
,Multi-family home for sale,1069000,6,5.0,2184.207862,"Jamaica, NY 11436","120-40 144 StJamaica, NY 11436",,New York,Queens County
Brokered by Keller Williams Legendary,House for sale,599999,3,2.0,2184.207862,"Brooklyn, NY 11203","968 Schenectady AveBrooklyn, NY 11203",,New York,Kings County
,Condo for sale,7600000,4,4.0,3216.0,"New York, NY 10007","100 Barclay St Apt 20CNew York, NY 10007",,New York County,New York
,Co-op for sale,248000,1,1.0,2184.207862,"Fresh Meadows, NY 11365","196-30 67 Ave Unit 2FLFresh Meadows, NY 11365",New York,Queens County,Queens
,Condo for sale,575000,1,1.0,1073.0,"New York, NY 10032","456 W 167th St Apt 6GNew York, NY 10032",,New York County,New York
,Co-op for sale,350000,2,1.0,850.0,"New York, NY 10033","2440 Amsterdam Ave Apt 2INew York, NY 10033",,New York County,New York
,Condo for sale,7600000,4,4.0,3216.0,"New York, NY 10007","100 Barclay St Apt 20CNew York, NY 10007",,New York County,New York
Brokered by Corcoran Long Island City,Condo for sale,695000,3,2.0,704.0,"Brooklyn, NY 11238","888 Fulton St Apt 3ABrooklyn, NY 11238",New York,Kings County,Brooklyn
,House for sale,875000,4,2.0,1600.0,"Brooklyn, NY 11226","2420 Cortelyou RdBrooklyn, NY 11226",,New York,Kings County
,Pending,119000,3,1.0,2184.207862,"Elmhurst, NY 11373","86-16 60th Ave Unit 1CElmhurst, NY 11373",,Queens County,Queens
Brokered by COMPASS,Townhouse for sale,4000000,6,4.0,5854.0,"Brooklyn, NY 11231","62 3rd StBrooklyn, NY 11231",,New York,Kings County
,Co-op for sale,195000,3,1.0,2184.207862,"Queens, NY 11372","90-10 34th Ave Unit 2NDFLLQueens, NY 11372",United States,New York,Queens County
,Co-op for sale,410000,3,1.0,766.0,"New York, NY 10037","42 W 138th St Apt 31New York, NY 10037",,New York County,New York
Brokered by COMPASS,Townhouse for sale,699000,4,2.0,2184.207862,"Brooklyn, NY 11203","632 E 52nd StBrooklyn, NY 11203",United States,New York,Kings County
,House for sale,699999,3,2.0,2184.207862,"Bronx, NY 10473","902 Harding ParkBronx, NY 10473",,New York,Bronx County
,Multi-family home for sale,915000,6,5.0,3096.0,"Bronx, NY 10462","1857 Holland AveBronx, NY 10462",,New York,Bronx County
,Co-op for sale,399000,1,1.0,2184.207862,"Queens, NY 11372","35-20 82nd St Unit 32BQueens, NY 11372",,-,Queens
Brokered by Douglas Elliman  -111 Fifth Ave,Co-op for sale,995000,2,1.0,1000.0,"New York, NY 10023","303 W 66th St Apt 20DWNew York, NY 10023",New York,New York County,New York
,Co-op for sale,535000,2,1.0,1000.0,"Astoria, NY 11106","33-52 Crescent St Unit 7CAstoria, NY 11106",,Queens County,Queens
Brokered by Remax Edge - RE/MAX EDGE,Co-op for sale,429000,1,1.0,575.0,"Brooklyn, NY 11205","195 Willoughby Ave Apt 1610Brooklyn, NY 11205",New York,Kings County,Brooklyn
,House for sale,2195000,3,4.0,2184.207862,"Brooklyn, NY 11215","503 4th AveBrooklyn, NY 11215",,New York,Kings County
,Multi-family home for sale,1690000,7,7.0,4600.0,"Corona, NY 11368","56-09 Van Cleef StCorona, NY 11368",,New York,Queens County
Brokered by JM Properties,Multi-family home for sale,1699999,4,3.0,2160.0,"Brooklyn, NY 11228","23 Bay 7th StBrooklyn, NY 11228",,New York,Kings County
,Co-op for sale,235000,1,1.0,800.0,"Brooklyn, NY 11229","2675 Ocean Ave Apt 4ABrooklyn, NY 11229",,Kings County,Brooklyn
,Contingent,984900,3,5.0,2532.0,"Staten Island, NY 10310","116 Taylor StStaten Island, NY 10310",10310,United States,New York
,Condo for sale,899000,2,1.0,1010.0,"Brooklyn, NY 11216","568 Saint Marks Ave Apt 3ABrooklyn, NY 11216",New York,Kings County,Brooklyn
,Co-op for sale,269999,1,1.0,2184.207862,"Bellerose, NY 11426","251-38 71st Ave Unit 80BBellerose, NY 11426",,Queens County,Queens
Brokered by Corcoran Bedford Stuyvesant,Multi-family home for sale,1350000,6,2.0,2184.207862,"Brooklyn, NY 11213","1179 Lincoln PlBrooklyn, NY 11213",,New York,Kings County
,House for sale,735000,3,2.0,1600.0,"Brooklyn, NY 11210","894 E 38th StBrooklyn, NY 11210",,New York,Kings County
Brokered by Ideal Properties Realty,House for sale,1499000,3,2.0,2100.0,"Brooklyn, NY 11229","1813 E 24th StBrooklyn, NY 11229",,New York,Kings County
,House for sale,0,3,2.0,1600.0,"Brooklyn, NY 11210","894 E 38th StBrooklyn, NY 11210",,New York,Kings County
,Multi-family home for sale,899999,5,3.0,1440.0,"East Elmhurst, NY 11369","30-33 93rd StEast Elmhurst, NY 11369",United States,New York,Queens County
Brokered by Corcoran Westside Columbus,Condo for sale,900000,2,2.0,951.0,"New York, NY 10029","77 E 110th St Apt 5BNew York, NY 10029",New York,New York County,New York
